Rank,Condition,Test weighted F1,Val weighted F1,Test relaxed acc,Test relaxed F1,Val relaxed acc,Val relaxed F1
1,A1: Autoencoder + MLP,0.9143994177409486,0.9138090457916188,0.7562569213732004,0.8315659763806799,0.7586932447397564,0.8283708127616481
2,B1: Pooling + MLP,0.9095970615825144,0.9071895788345123,0.7514950166112957,0.8262688682802661,0.7527131782945736,0.82170156708228
3,A2: Autoencoder + FT-Transformer,0.576950480336224,0.5618939362868653,,,,
4,B2: Pooling + FT-Transformer,0.5609369399314159,0.5500936702381197,,,,
